date_id,rest_id,paymentType,transportMode,totalRevenue,totalTime,numberOfDeliveries
2018-05-16,12,Cash,car,55.86,41.60,5
2019-02-20,24,Bancomat,car,54.31,25.36,6
2018-12-15,10,Cash,car,107.42,41.24,5
2019-12-20,7,Satispay,bike,120.61,23.78,8
2018-07-04,13,Bancomat,car,123.85,21.52,9
2018-06-22,24,Satispay,bike,44.17,39.72,5
2017-06-01,6,Credit card,scooter,45.03,21.91,7
2018-07-04,16,Satispay,bike,102.05,22.70,8
2018-10-05,23,Satispay,bike,109.95,23.73,6
2016-03-12,0,Bancomat,scooter,110.67,27.38,8
2019-05-09,24,Bancomat,car,68.04,17.28,8
2016-08-26,3,Credit card,car,93.78,24.16,9
2016-01-10,12,Bancomat,car,64.97,20.94,8
2017-11-19,17,Credit card,car,84.73,20.69,9
2018-12-10,15,Satispay,car,84.88,17.96,6
2019-03-23,20,Credit card,scooter,70.34,21.40,9
2017-02-19,20,Cash,bike,43.73,37.50,8
2017-08-02,6,Credit card,car,101.23,16.15,9
2018-01-05,22,Satispay,scooter,115.67,29.69,9
2016-06-16,16,Cash,bike,128.87,35.24,7
2018-12-09,18,Credit card,scooter,109.97,25.56,6
2016-07-16,20,Bancomat,scooter,114.24,18.97,6
2017-06-02,11,Bancomat,scooter,105.38,34.15,5
2016-03-10,8,Cash,car,63.21,41.72,6
2018-10-05,22,Credit card,bike,50.90,44.84,6
2019-02-20,13,Credit card,car,80.06,23.20,5
2016-05-23,1,Credit card,car,48.99,17.14,7
2016-03-12,14,Satispay,scooter,95.88,39.28,9
2019-09-08,1,Bancomat,scooter,68.78,16.08,6
2019-10-24,10,Satispay,bike,62.15,41.20,9
2018-07-09,22,Cash,car,52.08,15.33,9
2017-03-27,22,Satispay,bike,105.03,16.36,6
2016-12-16,8,Credit card,bike,58.88,29.47,9
2019-09-06,24,Credit card,car,78.59,39.35,7
2018-07-26,0,Credit card,car,125.14,25.98,6
2017-07-08,8,Bancomat,bike,125.87,38.48,8
2018-05-16,15,Bancomat,scooter,126.08,26.90,9
2017-09-02,23,Cash,car,94.61,39.62,5
2016-05-06,15,Satispay,bike,102.84,35.20,6
2017-03-17,11,Credit card,scooter,110.32,38.88,8
2019-03-23,11,Credit card,scooter,69.15,44.31,7
2018-01-05,16,Bancomat,scooter,52.00,26.22,5
2019-11-18,14,Satispay,scooter,77.21,15.35,6
2017-10-21,24,Credit card,scooter,89.28,42.67,7
2016-05-13,2,Bancomat,scooter,130.93,33.69,8
2019-03-12,3,Bancomat,car,110.88,25.50,5
2017-10-21,9,Satispay,car,117.46,20.08,7
2016-07-03,19,Cash,car,139.12,32.80,6
2017-06-01,0,Cash,bike,86.26,15.38,8
2017-05-30,11,Credit card,car,80.82,36.62,5
2019-03-23,18,Bancomat,car,131.52,42.97,6
2017-11-15,19,Satispay,car,75.07,32.44,5
2017-07-01,7,Satispay,bike,75.42,34.22,5
2019-10-24,21,Credit card,scooter,81.30,15.97,9
2017-02-19,21,Bancomat,scooter,56.45,36.35,5
2017-08-05,1,Satispay,car,67.21,29.93,7
2018-07-09,24,Bancomat,car,111.59,39.41,8
2018-11-16,5,Bancomat,scooter,86.94,18.37,5
2017-01-15,23,Credit card,bike,72.28,25.73,7
2019-03-12,10,Satispay,bike,90.91,36.51,8
2017-05-31,18,Cash,scooter,95.91,32.59,7
2019-07-23,16,Bancomat,bike,133.42,18.62,9
2019-09-27,21,Satispay,car,48.96,34.36,5
2017-07-01,20,Satispay,scooter,84.05,44.12,7
2016-05-23,8,Cash,scooter,92.67,20.07,5
2016-11-24,9,Satispay,car,109.89,34.55,6
2016-11-24,4,Credit card,scooter,127.14,24.63,9
2016-05-21,11,Bancomat,scooter,98.15,21.73,8
2017-11-19,11,Satispay,scooter,107.29,19.92,6
2019-05-23,24,Satispay,scooter,71.76,44.90,5
2016-06-16,3,Credit card,bike,73.45,33.48,9
2017-08-02,14,Cash,bike,133.54,22.86,9
2017-07-03,0,Credit card,car,48.21,21.52,7
2018-11-16,11,Cash,car,101.51,33.80,6
2017-06-02,18,Cash,scooter,49.13,29.71,7
2017-01-15,6,Credit card,bike,77.28,34.45,5
2017-08-02,22,Satispay,car,132.46,25.50,9
2016-07-03,11,Bancomat,car,62.99,39.09,6
2017-02-18,15,Satispay,bike,118.32,25.99,9
2018-01-05,9,Cash,bike,54.27,40.13,6
2017-04-19,7,Cash,bike,100.37,39.57,5
2016-04-24,11,Bancomat,scooter,93.57,34.87,6
2017-01-15,17,Credit card,scooter,114.51,42.28,6
2017-07-01,8,Cash,car,55.08,23.74,8
2017-06-01,22,Bancomat,scooter,80.22,17.37,8
2018-07-09,6,Credit card,bike,101.53,36.19,9
2018-11-16,6,Cash,scooter,134.14,43.14,6
2017-10-21,19,Cash,car,105.16,28.88,8
2018-12-19,11,Cash,car,129.45,39.61,8
2017-02-01,12,Credit card,bike,62.74,20.41,7
2019-05-06,8,Satispay,scooter,99.17,39.40,6
2019-01-19,0,Satispay,car,66.97,22.72,7
2016-08-26,2,Credit card,car,77.44,32.76,7
2017-09-02,8,Credit card,bike,63.70,28.75,6
2017-10-21,15,Satispay,car,45.96,32.75,6
2019-05-09,6,Cash,scooter,104.04,18.33,5
2016-05-06,1,Bancomat,bike,65.94,40.47,8
2018-06-29,1,Satispay,scooter,94.45,38.28,8
